salesanalysis,Design,Category_Code,VOCNO,GROSS_WT1,NETVALUECC1
1,DIAMOND EARRING,ER,512,1,5714.29
1,DIAMOND PENDANT,PN,512,1,3809.52
1,DIAMOND RING,RN,528,1,6666.67
1,DIAMOND RING,RN,269,1,12190.48
1,DIAMOND EARRING,ER,272,1,3190.48
1,DIAMOND BRACELET,BR,276,1,44961.9
1,DIAMOND BANGLE,BN,277,1,20952.38
1,DIAMOND BRACELET,BR,59,1,44961.9
1,DIAMOND BRACELET,BR,4,-1,-44961.9
1,DIAMOND PENDANT,PN,57,1,3174.55
1,DIAMOND NECKLACE,NK,57,1,46021.8
1,DIAMOND NECKLACE,NK,57,1,51306.6
1,DIAMOND NECKLACE,NK,57,1,32185.9
1,DIAMOND NECKLACE,NK,57,1,50535.9
1,DIAMOND NECKLACE,NK,57,1,31745.5
1,DIAMOND EARRING,ER,57,1,6936.3
1,DIAMOND EARRING,ER,57,1,10074.15
1,DIAMOND EARRING,ER,57,1,7817.1
1,DIAMOND PENDANT WITH CHAIN,PN,57,1,9175
1,DIAMOND PENDANT WITH CHAIN,PN,57,1,9688.8
1,DIAMOND PENDANT,PN,57,1,3321.35
1,DIAMOND PENDANT,PN,90,1,429.39
1,DIAMOND PENDANT,PN,90,1,411.04
1,DIAMOND PENDANT,PN,90,1,429.39
1,DIAMOND BELLY BUTTON,BB,61,1,2500
1,DIAMOND RING,,59,1,1267.01
1,DIAMOND RING,,59,1,1476.34
1,DIAMOND RING,,59,1,3213.44
1,DIAMOND RING,,59,1,2445.88
1,DIAMOND RING,,59,1,2387.12
1,DIAMOND RING,,59,1,1953.77
1,DIAMOND RING,,59,1,2412.83
1,DIAMOND RING,RN,59,1,4296.82
1,DIAMOND RING,RN,63,1,1744.44
1,DIAMOND RING,RN,63,1,1248.65
1,DIAMOND RING,RN,63,1,1322.1
1,Multi Tourmaline              ,,63,1,954.85
1,DIAMOND RING,RN,63,1,1366.17
1,DIAMOND RING,RN,63,1,1248.65
1,DIAMOND RING,RN,85,1,1284.5
1,DIAMOND PENDANT,PN,85,1,1284.5
1,DIAMOND RING,RN,85,1,844.1
1,DIAMOND RING,RN,85,1,1449.65
1,DIAMOND PENDANT,PN,86,1,1658.84
1,DIAMOND PENDANT,PN,86,1,1644.16
1,DIAMOND PENDANT,PN,86,1,1423.96
1,DIAMOND PENDANT,PN,86,1,1434.97
1,DIAMOND RING,RN,86,1,1904.73
1,DIAMOND RING,RN,86,1,1827.66
1,DIAMOND RING,RN,86,1,1379.92
1,DIAMOND RING,RN,86,1,1174.4
1,DIAMOND RING,RN,86,1,1387.26
1,DIAMOND CHOKER NECKLACE,NK,86,1,4554.47
1,DIAMOND NECKLACE,NK,86,1,2007.49
1,DIAMOND PENDANT,PN,86,1,1412.95
1,DIAMOND PENDANT,PN,86,1,1596.45
1,DIAMOND RING,RN,86,1,1890.05
1,DIAMOND PENDANT,PN,86,1,1416.62
1,DIAMOND PENDANT,PN,86,1,1662.51
1,DIAMOND RING,RN,100,1,1597.54
1,DIAMOND EARRING,ER,100,1,165.26
1,DIAMOND,PN,100,1,293.8
1,DIAMOND,PN,100,1,1230.29
1,DIAMOND PENDANT,PN,106,1,1557.14
1,DIAMOND BRACELET,BR,106,1,1248.65
1,DIAMOND BRACELET,BR,106,1,1222.94
1,DIAMOND RING,RN,106,1,1230.29
1,DIAMOND RING,RN,106,1,1285.38
1,DIAMOND PENDANT,PN,106,1,1564.48
1,DIAMOND PENDANT,PN,106,1,1535.1
1,DIAMOND PENDANT,PN,106,1,1557.14
1,DIAMOND NECKLACE,NK,106,1,1167.86
1,DIAMOND RING,RN,106,1,1491.04
